title,author,length
King of Duels,By: pirateaba,Length: 34 hrs and 10 mins
Onyx Storm (Part 2 of 2) (Dramatized Adaptation),By: Rebecca Yarros,Length: 9 hrs
Rewind It Back,By: Liz Tomforde,Length: 13 hrs and 27 mins
Fair Catch,By: CE Ricci,Length: 11 hrs and 12 mins
Start with Why (15th Anniversary Edition),By: Simon Sinek,Length: 7 hrs and 56 mins
Sequel.exe,By: Macronomicon,Length: 20 hrs and 55 mins
Simi,By: Sherrilyn Kenyon,Length: 9 hrs and 39 mins
Thunder Game,By: Christine Feehan,Length: 12 hrs and 3 mins
Amber the Cursed Berserker: Book 2,"By: V.A. Lewis, Azrie",Length: 21 hrs and 52 mins
End Game,By: Felice Stevens,Length: 7 hrs and 28 mins
The Strength of the Few,By: James Islington,Length: Not Yet Known
Reckoning,By: Michael R. Miller,Length: 24 hrs
The Golden Goblin,By: Terry Mancour,Length: 19 hrs
Sleepytime Adventures,By: Lily Thompson,Length: 10 hrs and 31 mins
Path of the Berserker 4: A Daopocalypse Progression Fantasy,By: Rick Scott,Length: 15 hrs and 32 mins
Of Ancients Unbound,By: T.C. Edge,Length: 42 hrs and 43 mins
Control,By: Sean Oswald,Length: 15 hrs and 44 mins
Death Row,By: Freida McFadden,Length: 2 hrs
Return to Sender,By: Craig Johnson,Length: 11 hrs and 45 mins
The Crown of Gilded Bones (Part 2 of 2) (Dramatized Adaptation),By: Jennifer L. Armentrout,Length: 9 hrs
